Ea (kJ/mol),T1 (°C),T2 (°C),D2/D1,Percent Increase
30.0,20.0,28.0,1.3867813279703296,38.67813279703296
30.0,20.0,29.0,1.4428800979621834,44.28800979621834
30.0,20.0,30.0,1.5008554916411718,50.08554916411718
30.0,21.0,24.0,1.1318434640125348,13.184346401253478
30.0,21.0,25.0,1.1788936341587644,17.889363415876435
30.0,21.0,26.0,1.227565349523203,22.756534952320308
30.0,21.0,27.0,1.2779019853006903,27.790198530069034
30.0,21.0,28.0,1.329947691841125,32.994769184112506
30.0,21.0,29.0,1.3837473992362253,38.37473992362253
30.0,21.0,30.0,1.4393468217636396,43.93468217636396
30.0,21.0,31.0,1.4967924621869206,49.679246218692064
30.0,22.0,25.0,1.130900364757826,13.090036475782597
30.0,22.0,26.0,1.1775906335523558,17.759063355235583
30.0,22.0,27.0,1.225878043130289,22.58780431302889
30.0,22.0,28.0,1.2758049464616963,27.58049464616963
30.0,22.0,29.0,1.3274144445148424,32.741444451484234
30.0,22.0,30.0,1.3807503905193736,38.07503905193737
30.0,22.0,31.0,1.4358573940912382,43.585739409123825
30.0,22.0,32.0,1.4927808252179608,49.27808252179609
30.0,23.0,26.0,1.1299675293111335,12.996752931113353
30.0,23.0,27.0,1.1763021411388574,17.630214113885746
30.0,23.0,28.0,1.2242099437284217,22.420994372842173
30.0,23.0,29.0,1.2737322949959249,27.37322949959249
30.0,23.0,30.0,1.3249112746965415,32.491127469654145
30.0,23.0,31.0,1.377789688382626,37.77896883826259
30.0,23.0,32.0,1.4324110712278175,43.241107122781756
30.0,23.0,33.0,1.4888196917159793,48.88196917159793
30.0,24.0,27.0,1.1290448069297134,12.904480692971344
30.0,24.0,28.0,1.1750279381623008,17.502793816230078
30.0,24.0,29.0,1.2225607544091457,22.256075440914568
30.0,24.0,30.0,1.2716836448928766,27.168364489287654
30.0,24.0,31.0,1.3224376954747732,32.24376954747732
30.0,24.0,32.0,1.3748646923252392,37.48646923252392
30.0,24.0,33.0,1.429007125464541,42.90071254645409
30.0,24.0,34.0,1.4849081921726794,48.49081921726794
30.0,25.0,28.0,1.1281320496654899,12.813204966548986
30.0,25.0,29.0,1.173767810039657,17.37678100396569
30.0,25.0,30.0,1.2209301840795244,22.093018407952435
30.0,25.0,31.0,1.2696586178913443,26.965861789134426
30.0,25.0,32.0,1.3199932299408437,31.999322994084366
30.0,25.0,33.0,1.3719748144526498,37.19748144526498
30.0,25.0,34.0,1.425644844684075,42.56448446840751
30.0,25.0,35.0,1.481045476072244,48.104547607224404
30.0,26.0,29.0,1.1272291123023996,12.722911230239964
30.0,26.0,30.0,1.1725215462644774,17.252154626447734
30.0,26.0,31.0,1.2193179473241793,21.93179473241793
30.0,26.0,32.0,1.267656843290943,26.7656843290943
30.0,26.0,33.0,1.3175774109399534,31.75774109399534
30.0,26.0,34.0,1.3691194791561265,36.91194791561265
30.0,26.0,35.0,1.4223235319564569,42.232353195645686
30.0,26.0,36.0,1.4772307113898973,47.723071138989724
30.0,27.0,30.0,1.1263358522954021,12.633585229540213
30.0,27.0,31.0,1.1712889403131534,17.128894031315344
30.0,27.0,32.0,1.2177237642711454,21.772376427114537
30.0,27.0,33.0,1.265677957769041,26.56779577690409
30.0,27.0,34.0,1.3151897808295925,31.518978082959247
30.0,27.0,35.0,1.3662981228019395,36.62981228019395
30.0,27.0,36.0,1.4190425051472602,41.904250514726016
30.0,27.0,37.0,1.4734630841059129,47.346308410591284
30.0,28.0,31.0,1.1254521297110736,12.545212971107356
30.0,28.0,32.0,1.1700697895536643,17.006978955366424
30.0,28.0,33.0,1.216147360461449,21.6147360461449
30.0,28.0,34.0,1.2637216052028684,26.372160520286837
30.0,28.0,35.0,1.3128298912449112,31.282989124491124
30.0,28.0,36.0,1.3635101934297553,36.35101934297553
30.0,28.0,37.0,1.4158010965375318,41.58010965375318
30.0,28.0,38.0,1.4697417977345593,46.97417977345593
30.0,29.0,32.0,1.1245778071697556,12.457780716975563
30.0,29.0,33.0,1.1688638951568253,16.88638951568253
30.0,29.0,34.0,1.214588466722314,21.45884667223139
30.0,29.0,35.0,1.2617874364966657,26.17874364966657
30.0,29.0,36.0,1.3104973028709386,31.04973028709386
30.0,29.0,37.0,1.3607551504599285,36.075515045992844
30.0,29.0,38.0,1.4125986524552168,41.259865245521674
30.0,29.0,39.0,1.4660660728674844,46.606607286748435
30.0,30.0,33.0,1.123712749789211,12.371274978921099
30.0,30.0,34.0,1.1676710620098951,16.767106200989513
30.0,30.0,35.0,1.2130468190438128,21.304681904381283
30.0,30.0,36.0,1.2598751094137155,25.98751094137155
30.0,30.0,37.0,1.308191585221306,30.819158522130596
30.0,30.0,38.0,1.3580324644093928,35.80324644093928
30.0,30.0,39.0,1.4094345329175864,40.94345329175864
30.0,30.0,40.0,1.4624351467309722,46.243514673097216
30.0,31.0,34.0,1.1228568251297293,12.28568251297293
30.0,31.0,35.0,1.1664910986324593,16.649109863245926
30.0,31.0,36.0,1.2115221584589262,21.15221584589262
30.0,31.0,37.0,1.2579842884130457,25.798428841304567
30.0,31.0,38.0,1.305912316423331,30.591231642333106
30.0,31.0,39.0,1.3553416166158554,35.53416166158554
30.0,31.0,40.0,1.4063081112843008,40.630811128430075
30.0,32.0,35.0,1.1220099031406532,12.200990314065319
30.0,32.0,36.0,1.1653238170946034,16.532381709460342
30.0,32.0,37.0,1.2100142309268616,21.001423092686156
30.0,32.0,38.0,1.256114644490743,25.611464449074294
30.0,32.0,39.0,1.3036590830092567,30.36590830092567
30.0,32.0,40.0,1.3526820989700317,35.26820989700317
30.0,33.0,36.0,1.1211718561082857,12.117185610828574
30.0,33.0,37.0,1.1641690329371985,16.416903293719855
30.0,33.0,38.0,1.2085227872195419,20.852278721954185
30.0,33.0,39.0,1.2542658550256476,25.42658550256476
30.0,33.0,40.0,1.3014314797133872,30.143147971338724
30.0,34.0,37.0,1.1203425586051048,12.034255860510479
30.0,34.0,38.0,1.1630265650943097,16.302656509430967
30.0,34.0,39.0,1.207047582811162,20.7047582811162
30.0,34.0,40.0,1.2524376036293166,25.243760362931656
30.0,35.0,38.0,1.1195218874403094,11.952188744030945
30.0,35.0,39.0,1.161896235817655,16.1896235817655
30.0,35.0,40.0,1.205588377770728,20.558837777072792
30.0,36.0,39.0,1.1187097216115878,11.870972161158777
30.0,36.0,40.0,1.1607778706029983,16.07778706029983
30.0,37.0,40.0,1.1179059422581235,11.790594225812345
40.0,15.0,18.0,1.187728340108435,18.77283401084351
40.0,15.0,19.0,1.256845303696968,25.6845303696968
40.0,15.0,20.0,1.3294712277584981,32.94712277584981
40.0,15.0,21.0,1.4057567476472175,40.57567476472175
40.0,15.0,22.0,1.4858576846534783,48.58576846534783
40.0,15.0,23.0,1.5699351741978143,56.993517419781426
40.0,15.0,24.0,1.6581557955834998,65.81557955834998
40.0,15.0,25.0,1.7506917032855807,75.06917032855807
40.0,16.0,19.0,1.1863254624412718,18.63254624412718
40.0,16.0,20.0,1.2548764469531195,25.48764469531195
40.0,16.0,21.0,1.3268816924621387,32.688169246213874
40.0,16.0,22.0,1.4024882773428844,40.24882773428844
40.0,16.0,23.0,1.4818482959316432,48.184829593164324
40.0,16.0,24.0,1.5651189809987556,56.51189809987556
40.0,16.0,25.0,1.6524628276712034,65.24628276712035
40.0,16.0,26.0,1.7440477187837065,74.40477187837064
40.0,17.0,20.0,1.1849386225232656,18.493862252326565
40.0,17.0,21.0,1.2529308114236715,25.293081142367146
40.0,17.0,22.0,1.3243236268357421,32.43236268357421
40.0,17.0,23.0,1.3992606864469166,39.92606864469166
40.0,17.0,24.0,1.4778904599991802,47.789045999918024
40.0,17.0,25.0,1.560366386305095,56.03663863050949
40.0,17.0,26.0,1.646846991612724,64.68469916127239
40.0,17.0,27.0,1.7374960092981455,73.74960092981455
40.0,18.0,21.0,1.1835675719574708,18.356757195747075
40.0,18.0,22.0,1.2510080247119686,25.100802471196857
40.0,18.0,23.0,1.3217965095069513,32.17965095069513
40.0,18.0,24.0,1.3960732766822053,39.60732766822053
40.0,18.0,25.0,1.4739832705564215,47.398327055642156
40.0,18.0,26.0,1.5556762412393428,55.56762412393428
40.0,18.0,27.0,1.6413068576980077,64.13068576980076
40.0,18.0,28.0,1.7310348220562435,73.10348220562435
40.0,19.0,22.0,1.1822120672153351,18.221206721533513
40.0,19.0,23.0,1.2491077219924385,24.910772199243848
40.0,19.0,24.0,1.3192998300634855,31.92998300634855
40.0,19.0,25.0,1.3929253649084579,39.292536490845784
40.0,19.0,26.0,1.4701258415163152,47.01258415163152
40.0,19.0,27.0,1.5510474232334506,55.10474232334506
40.0,19.0,28.0,1.6358410297775792,63.584102977757915
40.0,19.0,29.0,1.7246624463965472,72.46624463965472
40.0,20.0,23.0,1.1808718695211935,18.08718695211935
40.0,20.0,24.0,1.2472295458241447,24.72295458241447
40.0,20.0,25.0,1.316833088774147,31.683308877414706
40.0,20.0,26.0,1.3898162827251324,38.981628272513234
40.0,20.0,27.0,1.4663173064595003,46.63173064595003
40.0,20.0,28.0,1.5464788353014585,54.64788353014585
